pid,score_plain,score_enc
13,3,258240865034244412880377627541923382402080909009363738176760316531402658099903655855622765597121028924458598491112431292600692831503620625737173761164084870627239755875199269258661295174883745823971047551901079018501250233414260987958215046337147745914134699566036940086761289508977382208293341979811341240982107675322274202850266909154396076071934248250358508507665311964070135185110245907256506485563077761825718884696670085938070872678334355676936783235500504864644224579734483132726683674290557219428114469440071145938783302376661294850876737071369752382807891581093960840880495888941537196761853836663637693071893418587493792751440729581973089461434405716231892034541523128253360090022069114131576127485973290279997804871720464603614455171059858980491524861497462056278763388978194415794500429153128692596379708713196418646731915954065195702355602997038663742708236697153245133343778428098068747764369538163137045690532205001115321791160816700774403336873403395596743355854565789941716722231624559212618060719481582426232076080122050588699834754935420468552133217981380497254370924663378868013358982076889668630680341555077651587240816137739660306886753769938699865647422824685224012497767187148525691992636275854098633856028086
14,2,237248120535026661582981509911071986434430518071127606540808641017264285039946044235202294686160971361776607619594298579745683883599469531227465076833398825552448315678303488989096182276486308285270792023484239105942699987245203614074098818061286936228725976849110449524888766681118742618282043712736051647704871024252255308581528243419489685898364845600616370153738953153176770475449363682624179543733218966468341256449401319388621722832632068017422719462600400020095033625587401420044282610817137966578979997066119852450773287190185294735959387688607549466105902657444462375640936589494963521581928620335726380781690452575590519379664980747864628253223466511924177913384406999479597491369132204902864364150035475232142498562717328620865787045608938181982938255717807832696876289562630273627159530859014884221891317455091543588007576598849031157665913798028325211891829960502874493108677029340233302794419068517695475210282608140894913765938811284523473522130854250472610809915139378170147045242807020773310086876363267927799233154452759712386094311096942438459530783925889792356457713851806793214532475225484445930413600645276552015485363950955007416433657282682734397168268406296533893157129469038897222246004265095652685023995840
15,5,169116617845704852776991804191383302603048497538547969082777050439382440744126281846983915860154977269441021125240606710062749114495873559671705816239560845897004525951810299581234457522086082782535046377093811994563398567568257248891303564196701446133733339472791580745826540855994501790294633233761276641193742678673454608446097881811507038187354007723690685348674539117284290388066735511227333859785862151562678120023236469970096931203253303827444783758766664081935180749442682275675645323351515087936311004058663205891812676410522895199410719816040539120818256085609146263210414164224890726047459188240722025575493922870486308629042992294110859565219950460276858884470788517012775987920447202572057820603579833080690262280791062924473594367884428597429145192080875391502208569974509619658786094803186191041805296116064262117415439759165621359649856050387512330201134179384961189283116719002119059484679258533817210509644808006143614900671632733562352985384855064087858630363300572672685833473758990439623882938864299888305098133771463947084354109852650299313400911321323929818315352931215700654447863577936164342635090034949885508212620872504310354620373592000134745608335399382060694048514937144626726020016903615509697526750925
16,3,500845865235551837590806054672583178371343733335601791683511067731735259998067781165286302594511045862045945826224318309228315727118496330852564829482274792224353775101455944461412752570325658068374984443456878000062664247329922948735013890771349761331886106067858901508417948191013426928952351908236924689380299239102293731151838266598487115621896741295451504754200814143126045926048808884651052490248454924251206008458937823830586965669667036807322011459060766094292528157885144282139233318694642906632484891987606376874592867553472647040633839968560250805924079828959029330337753847329216918405312670268545618555232445480177588525120221571367050714614915423494629389662089285437431271271339586709200905328308489093962815702332563312184432564414658812373250045590357566110704905102148890364885607348323995221209369016469298137387394586934975517812724412362526959288805294201115821023731940585464212171938085288679316007140745213943169110607752583845422756760534536017999603861341883481728159734678702142022309113421889374477603133066648010411801657243365782985685152021239042200325673898771438348106932292092891738532857518795779960335414600475538802402508982570592664147811019086122087218477918723307932530690617019163005195371294
17,5,527069829592941256530921732219602094808516268986551679607810491665474862923307786479345605910021010372224450428473332174716725564857898629891713125329080090426651815936429156508333213411296646064184528473650141405458193486273396302414542007925782597914328778658185613483686376556826176013016862271199504671291591901512478787494978347896998338293471177274130024869097624035248452635247707460873530346970256276497627649927863889942228028011175001876319169209497381690559290201946481915399977200475603941392327801695412396022999118167464701049249310304832184624004036867178605812696919999279712226963891833637774971232132133213521825199425718920300296796094655364019171186039198095878637348811578540589965058724478869660532882952222186924992467756418908102119701987510606197542184950904522378642339442741238237710910174730742756701134559289770149420654988465287723291633514450271559192489929237151787491655782843459335432986817637698673979204165231639961099986971213640212203853654854463083917042253605506166683738185162020361976329448820817335816730163491532310605885217905644633043143221642636552690531451765770262448919140336343173382509561650933071869397639347523313895124853593188409769529758620494963604669228387394161642471636602
18,3,255747712178686348669607971454522833334395487542347681092081099338872786403241046948166090014840448139505401767211132829212070947101413925512117551021962777365986916649278036107626479948237931357446975373942084968427867206883618140036828558544670413673682505409253156362478736020127986920343963077137514354151597579012660377056398793030423686241631170439183835053649648512880341369112811382668735205953805264033503451365679261868327156316850312294338531049495069700809375800058288580752756595282075529372531616444528431901136779944135106992707787949905947142138351799455388686299465570759513285992859989183466596774046219628965541668204275879846797879768327257085789129130218211937170506734768701765683913977739679998791429196144890670931001805933836780848884571226011340162354542729295508991404212406224074529568846613821203383172229320525290764259259008686961487191735723447112559442857650311486326907166745912818856454828102912555471894091958368672165590581213001773425061996320723986082687748004143738933598819354954903287858744411216191954078300195140695245576351728513006924537935814828287544529892548861269682430507616874442789150180321061722416285784009263776330601372282975278437165783459411424253991338023842039766472611434
19,5,211541634315846875152156317451859671807016834009407252214329916267941882018045272570104124529870952926041150955035219848503968392331073258808926095789029332764201135493862378125620678169591500029356385263666452542077193696758467110337554591850520870079490555898872220060229948518793506775389280259327943301974455249431438225332880781962604500396855367254160280138432455347961808492822677306596185100713210020290716160389147207551411045073855165072050812848392039370991264274116409819725205357826757456481049314179011227961172296559352446243346637522130029833352703408553451911132061675208449594699693618706592083790044630629553878802024475040376295721718412082544540249535454356330697573482385324568470656550376960812051189850310843754120644852780302978118179985034658254185412738364646636570139160093188379884627075609243893425347150166456898443412526425193460058251355066727829594282921279914759747008723300694630641925854940150713014705190589806606377859638151061264191902302774103767168020696544331291355190379873652245930107550725633205883258494837558062415407749317426756575320727538134294752671473327758731916616445907380669616511118164197688934074215498504271360404291582549152703289440210970182142411924501120611150969706892
20,1,531460891756426748848085631119620999473855894809838917775402479072450249067489853339382424835757699268974970897376512138329304807583406305528269972668785285532517829386227083533999488180087463560124546578441946465708296230114309221706263863937015694579160491471138709121721757632826635237101350742339434087375045299798658794803889501746318812578419175768229219378192029732065192357342827178580065156264957482000207318089556577612683232083353394263936385171785131117915872758119374499688293515667464565750043431143654907890712150943401284899612751806388084300609909374263768219315401978030523160655923153983594728499382462088834123151092471780578780452436139665601377255238461136294847924416868298959415031709751238820626244637846947220135079445424902168737119287737226330884280581079351457307054071373709356679766686118850290214143523384220625520260460779729576266183256521028586202458377742620988652790192422687999254943523891271332326889791941294643918848935116284495652575648034793918600358606276732448733989165630300979024387899665175165001684223724659133601371401219290062677374467320310105733145489447001623474909768393520696440360499483504235790632044409382181155622059770849701877130931328447390287875434400258455863753562499
21,4,106391885971181590859088792415997875276327932590376339715824287186194858360391269184119095268702789966977084475400070141836694920338530004075836902380856709267516375750185942628138904321265289294654205585220602801074738547047925916486220352604792842641923445256432409551207161602417573254936582050181473395316603168760293473616225673903022824087594265835046964518300287467398965227093888764012367120001446447795993540881630187650221899214475741262527397011085342370553791713908064241115382049894996323283665428801951261981440243627409650345848533024226739205670517572458073884166402697275625670391559568706276502008056811338636356927417010535652825877199343625900102124280973493891467645562363484834675457343881825798201349136908810192332964714090791895815258544717157452158068296344528715523604541151987112708457766735087192327281801478491309426499779749811577432418932295565316767306374910728639392447783316385048118965754404368860750324956773955000831712715066393184245335573685339267726471962052340937333325592400431338654074585464346613783100703431120841529111409633300047641065064515917889464398094386523945557179756498704763619130809862586718627918851332547822413668125775394479756693261997597814997356782563920743661132027362
22,1,542302156504456146325208828794634144351617533272606733859279401974764042485878012684779356641395120777088674325691600492407136396902569027264322632740547250209580643016556750988976754711388698419857623549133056404819287874973508072879332710964877372599260237875214838064805777769432263538498578139996253584723116524952996915837227428624550810544620511928253882138969160483080880225891863841668983643385707416497457319188672291473234650081204378672831741953435028904002795186461258621325580257896308439233744204731797434033669422511667566121453426338941553482336820728357284472946026101950113467333805054008661666574095025452299014736354708208811498420441386981263251658263536933193272465589593959166745329114998672025228130674490192657446406798842130320009870259524084377204228801381774989789666284193843499896099751129822312262083949676903962400404189987448690877526969858520231917210322865750122819917161840109059443280570176744308467320252641403637229187982433156270786783534583120614255297953844134506628237308980580912452447900307086674939699498036610724498740089112837447512119868042060337024127090110867942254434256621293144179843411506061470935174673679348367422955832583773437023766402248464985760323561380021106749579991871
23,5,439498487608742279057518343807489888981426229302878391450578384548470860929724649193012224063803541023474526009975163411753615189428793457583451562903016966804910759497994029755810228661649752247493135159065418602859242549430067067826211971219295548730343794979632174004049366362798944210093738985638696354204856395506131252757718224724400840641516907364973492130633140729801312484679663530833803747839800889217703359204652916813090065208914901203436661595944470382291474697054596672185871757141693855737642184599981780154028467713410677680388964706285614057132210565323217700607228176131624556542286894064966283007939326420441164033879603706377003760466656291213437385115294616174622843551321374813350821273925810565799544790504848966242663497594487023581038982269249912565494883344059671863183376273930954683565009903211224822774699388305559079993648138475449260132240582712594531148846138642415189160872809942248687842805754124556308947254993971467308777119763040446427278147123629730235236972495887552251522132073734963379726689225241890283774579509599278157496292390244188615964042905825763739776441441952675520919482255253062435088589424224521439452638317200556658011061165262995783284402557207822801246759810408641413934978806
24,1,592138495053875603610439317904857800979551914189825481397642111023579131845429402659325820289368336544123494271224262374493399288409622227926550340544490332277324941171649178360133876598674748480379611419837731363994789349216839257545474164505904280901291607432766340057180423970905768347443732450080818522585327555825299193707010176829598632110206275627416754558221616181366038047641650659567585399335999484639834083344540966520211646416048314700235412734437468914254380783223896243517641882118964530449367644366859831631029676732124743551456678910594829715229300334522911029789729766649464358273307639681070193993029042285548698982461970401126411506280450657345511427846409603306226978557257146961327326173656876427495684540913320882542104454615370197471369550434893693759105123848075564707870003498937211660659571208704186135913542272181852452815719768686687023520721848987315826853730413492974961661424437018108901998152716126395231440449076209875536127094666909646771217625822191017331849741312153268998928459801578130830136102150557501760889927177406191483351976357250940387005729787147697117641514069842903332838365322503595473679622854767410912978629546728401986660370196613330058358122359450285968642303532415046449757277672
25,4,315787341668291531733496876940429268356512484045146018208890928447286556406258962853885731684124878929288564819053777910772565121536053377283736519186100031658429943064239110914444618493230527763581130884671454528934723710742996861963487373144763056568597517114522321473183121321121546041958596281181511699205791621631349893115366273327078929108221724548542355480745433649233596611367875025370971819476512006903037269734248651568200148956967987387301860294530593829948941359373043292048417745998832402032887813530875606378095122589223985427937114484357532394516389522165159160627679225683782175705125221602771741810977180495809077528791721014970438072345461980659274780663479733214767174131540768714518459649840173725592623294045944090872307097060608610700559770012016199315302139134359267117264712040767654413719179487301163408582232137714223403161826505378926456197775257830904861373184186934238620288171016991022589152838073789483696709191929711684375401240401188292068610686558607742026450736715739086561740277873457242717609676460503140240130885719537238834606114275026430845267259137608238154135068946717565185407909131646886026818683163226405042853011587685284868708735766646327360986464327594906247811751075857206937978992486
26,2,617575012545666027668542034317879039292024781372243677199338071014341699665720314853510864587493150053432365574704471773226014678816555822020606492160981436123613420284661968392631578614333965199573329018880929713873530423378545939507331847800047650633385523818000697283309070270432814373050558441370535147064993124472166868378536861444030498549705171526485300144611459047522513081959701413721102322583314509219294073988368617084451779330587066062890644065358587325178881208026685352807566672659745151103839938415183386096924222591285739651566108275199591990718002756183552479174718780041475202788914909833993073169044949509239772247319949287054090737840312033806400116811828051181727464406102141493688456536980258932369097543864647684920417408708660545263328377860684909110102001195186955425157024675004329239487417760309381624831607744764056152367688393992417636051692898527838555741740043785879396720445483716425790900682579195118351094899607430383304221070601967998491766886278840595518646327570945741674824671818236834404263046096264987682652160463215179987299429687609376794186886773895681617770864697223895988608705109386752854304440431420364884384884096768337677427130720469838190627520183233239835949620687826351006637962202
27,1,370747603579506573348138984360976261240532074948710807989901780970428050200729489738333844284633060455631812088279708214769076004374519755750573980385971379371074542508717616290338381052458749131000832872730201734065029451116171791895038354575340256651696498243415369894068747458229534308026519484044001824429776176430655923850368348446870040918676647670206042727865313787127333525904595071546549016540622381904022091705392418263638994689727392887699556251894480316627041369566889808863419955255159454421564312819608472350007188957113461699285917178473754828911859058067754308564117434256302252621864227162637079493804104705418597712293184285875052170807321550781340496267765354329506268964223737351796249078516902271530582130781694739984567708788225232706023113666359698748655654782530983720846974778282254618402050115280102901638297621792497799143808760404972564238712474413477792283788363222651223954900029322398773388315161129008430846093683222175400410938494775577904932245469313563669764517472188642716081015810322785228530019577813092699934397369482150664460822657677338735929760969249556022303355995511757037614422883219038710060226203437461716053939301984448504132328971343733120932327352645238445010831890436372225967365496
28,3,428371167279710125354903158837957285081869215890599822638676278326812329505800021639194044657877732879001738315755718031797410697785973851415320150307638818876222002154822375924723118920356444074020914276471726748212869889367265527806335164089623499485744989362885406950485518562477689093883054339649361881662637430484657837670532810978854304913996540477254363028910609358677538247758428308973931169676852046961856602419055238790844208662716651280661988701658849374591583823494248789373925868320466418201805242200301744033600497807422853914034608848114748896993756666959632755736024529660949792247195330590599932268789251098837483020420968604580688081395958357534556168263215522965167178235366491877557627138663399205420382924524589910771350242465334718628195653495692037745455133218406925540767673919627702581339999563997315418894689280590640538288831146745125171594386407967672045062543767858870297368785304093125288312161559131608859450461756094763198029540045800746512133660122096856824741630970875930668466536712440929873784004038854897773100025903729899865190317964405363116212276912502701878600019685415950979938398267247963825290884157331502402064557792883112090928690597087416212846724606501935002969242564683405379357498977
29,2,205903250323783547946488557698673662607939289052768574306886854504830193706369715027557088805155560535731193017517615146004703375445863344691627169390431819367019964438601625133001779945277727271179684132898962255095754026983220469503229528783162321961104879810891357605961867720131875744419727876567358929367530317153350261039988531578102821186642368832433801496234304490653719887059647176911405830547824619091110922768753824889570645642977237713858887453290511138831734363648360884635834374811926690518590022261545861256481844391291581589884691306914551024671782806394576577837765669945070214623850158164243073321472728217392016939852413346501760148219480914856524849087316036258545315794084586074388442480022530250639526530830485171519533277487601585717980850239465022443326751946162842068515447951281435412357556440125104734540085358267953762271380666296324351781516617323352675096995724517512246691227257670087046164510321361384902057741763715280948434366511098853675097609061027031612244719126032920633513256179817236869446645348025012364951628455692403728750170847262470940188199461872627599075436242887619939738037794837525799589259182440693130696645362021427712231833649588792642135712880016718058331738420416033740642199623
30,5,546389301382347488724244855622225150947319927981655920885677036167216799991454835424235696341442592665630182676353912959840421946498221482098802181144613151769634032985429260517436452404425998595888851384574209727638317508064002304985034803490048287029294562794149153112171008185725410698148490655902088672934848940204458701917951246171510431293985871767144522120462120236818911349229302899068167850190906761432114786671184216920762339997608543331513933066121107976944970144767294013013933841043895834936503405287890009556873452196741612375308434700227289827398553747326218290303381763625553502594188127377588710946832365484099487243370387261977590158106312453278600036324618609683280702778460589893568202590478518218066411965726956690695321868512325443781667881805645522766403785281330319414033954063345406740100953401004053479112588433382563767516032152106882274838207208273933455066854690628356797163294349945553874053200529703463624814030474334810185951753931467840317762011461131923626611264095820449194476303771051794962722525677435272481464390649330279112663677400740995899873409415508315701536036425716942284141473430183568591602007952913914063453796643087072249467882775091271577477468445506143642379287683596242894129238671
31,1,85032670135634020349442337528177571638380636218088179877539889098576573187242087298533303523865459065300814134209432352611245042776451420764537326842622820065023309064982496216412973405658506326687721477293929087761652240754066646168314961285650701538866080975604751013496052601928422248968563287990034620449183621877047816604856035339837676494353490821500283463802302597341532680098993758160335933817214092700194363349307277733425735752661394358991388864227194999021673160718509853291633662309636273421605389160130604423485666326507500920782359722032559187726604209295971610584960230935022104389168442830635583455484977909206709934274243446324868393073321737715361507175140234292200468831904071630885166611742680046446419525062072237159780975777555960677447762505874383886644366100845886574762643794345058226303599443173990559824248340679957872048064273486628214670277350452819980667287770109054729749439093970723011075785544157589192495642995941474657358890401948200335915691473201967622686174360174466329704459579075355161465924834725972355241258530488649894550030465352255171822093407266215063286749019779528338591568629582282248547837702978823508753537577745729789804572255611831189296716262506535616115259031392227470892541754
32,3,315338682432504215434114261420766281049398547073452472755355337470502655561745932590634800685031496035336525662613442138080728706134391433115375936052863702611132966841281288044697004497171543823967364917118051032618750650044901356897256516849134295675808531238693178025896060158665370674022152150658320769783760829411631461869429509611766070746913930834687010380519227440575285183200044463635849529456760755561108644460980247945623497412746645346870731580422921733254138854985489910157034809447398600005777845964970603253486915113006842167739671771739401567178876037421219770152754852652134804706334535046497777356997721470799407362055631849934403435076053695589818882583700996885914135967641956764136566885685292337506551325869241774982205265190962722984033670536707428357187988334615497631019553088201360280016394300684737729562635883976555984755484119367298437689725621078498071255886188856852662431698782356498556092069848175944955115980358725778881249487613425188973599613231858529702758549495323308452694634320856934239702322479660717662258051403013642590225053026780684605531636690089841084940105652830913112035206893428743715365046353036693576333586655069377224999556783121236510693883219943120848031172616233833670476593092
